"Location","Latitude","Longitude","Class","Park_Proximity","Transportation_Access"
"All Star Movies",28.3358863,-81.5722088,"Dining","Animal Kingdom","Bus"
"All Star Music",28.3358863,-81.5722088,"Dining","Animal Kingdom","Bus"
"All Star Sports",28.3358863,-81.5722088,"Dining","Animal Kingdom","Bus"
"Animal Kingdom",28.3574423,-81.5905788,"Park","Animal Kingdom","Bus"
"Animal Kingdom Lodge",28.3530369,-81.6040432,"Dining","Animal Kingdom","Bus"
"Art of Animation",28.3504096,-81.5484489,"Dining","Hollywood Studios","Bus, Skyliner"
"Beach Club",28.3713746,-81.5564248,"Resort","Epcot","Bus, Skyliner"
"Boardwalk Inn",28.3659835,-81.5560201,"Dining","Epcot","Bus, Skyliner"
"Caribbean Beach",28.3626045,-81.5418308,"Dining","Hollywood Studios","Bus, Skyliner"
"Contemporary",28.4148847,-81.5746871,"Dining","Magic Kingdom","Bus, Boat, Monorail"
"Coronado Springs",28.3622532,-81.573441,"Dining","Animal Kingdom","Bus"
"Disney Springs",28.3705684,-81.5193588,"Dining","Disney Springs","Bus, Boat"
"Dolphin",28.3674208,-81.561323,"Dining","Epcot","Bus, Skyliner"
"Epcot",28.3764687,-81.5494034,"Dining","Epcot","Bus, Skyliner"
"Grand Floridian",28.4108559,-81.5881411,"Dining","Magic Kingdom","Bus, Boat, Monorail"
"Hollywood Studios",28.3580628,-81.5590975,"Dining","Hollywood Studios","Bus, Skyliner"
"Magic Kingdom",28.418579,-81.5812062,"Dining","Magic Kingdom","Bus, Boat, Monorail"
"Old Key West",28.3752726,-81.533391,"Resort","Disney Springs","Bus, Boat"
"Polynesian",28.4054556,-81.5851827,"Resort","Magic Kingdom","Bus, Boat, Monorail"
"Pop Century",28.3504105,-81.5428456,"Dining","Hollywood Studios","Bus, Skyliner"
"Port Orleans French Quarter",28.3801785,-81.5367063,"Dining","Disney Springs","Bus, Boat"
"Port Orleans Riverside",28.3863204,-81.5368644,"Dining","Disney Springs","Bus, Boat"
"Riviera",28.3660327,-81.5415916,"Dining","Epcot","Bus, Skyliner"
"Saratoga Springs",28.3764023,-81.5229652,"Resort","Disney Springs","Bus, Boat"
"Swan",28.3652056,-81.5592999,"Dining","Epcot","Bus, Skyliner"
"Wilderness Lodge",28.4090888,-81.5730225,"Resort","Magic Kingdom","Bus, Boat"
"Yacht Club",28.3709572,-81.5587126,"Dining","Epcot","Bus, Skyliner"
